vid1,vid2,VisualSimilarity,MovementSimilarity,GoalSimilarity
aerobics_aerobics1,basketball_basketball1,0.0210561401328356,0.0160973278592231,0.0131711693351081
aerobics_aerobics1,bike_bike1,0.0200930665317805,0.0132895244217078,0.0128875888030253
aerobics_aerobics1,cardio_spinning1,0.0180060229355156,0.0133971327114958,0.00918685354218141
aerobics_aerobics1,caringchildren_babycrawling1,0.0236579403756225,0.0201653621586155,0.0230518609794998
aerobics_aerobics1,caringchildren_playingplayground1,0.0247972185756861,0.0236874411492821,0.0234815405449283
aerobics_aerobics1,computer_computer1,0.022733647397686,0.0299960196335472,0.0244892429983971
aerobics_aerobics1,crafts_knitting1,0.0244524958366746,0.0298119094349377,0.0240923214926979
aerobics_aerobics1,crafts_painting1,0.0233648946482331,0.0277646328674083,0.0241382908746467
aerobics_aerobics1,dancing_ballroomdancing1,0.0229418797465579,0.0142682572052544,0.0196219199963562
aerobics_aerobics1,dancing_moderndance1,0.0215512119277265,0.0116133291710837,0.0175943196863803
aerobics_aerobics1,dressing_buttoningshirt1,0.0240201932088326,0.0305222840354616,0.0231533855799865
aerobics_aerobics1,dressing_puttingonshoes1,0.0257778414604934,0.0262768711374788,0.0235453324058335
aerobics_aerobics1,dressing_tyingtie1,0.0225832647470593,0.0295352342447218,0.0229966249159764
aerobics_aerobics1,eatdrink_drinking1,0.024341135000194,0.028535270338364,0.0263571522130921
aerobics_aerobics1,eatdrink_eating1,0.0226761460552983,0.0297387379978294,0.0270966046529486
aerobics_aerobics1,fooddrink_pour1,0.0255862974694291,0.0271738658937055,0.026874013771124
aerobics_aerobics1,fooddrink_bakingcookies1,0.0242557704428134,0.0283372131897497,0.0260308990708453
aerobics_aerobics1,fooddrink_chopping1,0.0259957321612592,0.0303931865623795,0.0268709847888244
aerobics_aerobics1,fooddrink_grilling1,0.0257464144144031,0.0272600884529838,0.0268170287642438
aerobics_aerobics1,fooddrink_rollingdough1,0.0234623618924709,0.026355159002073,0.0262641682243813
aerobics_aerobics1,fooddrink_sautee1,0.0258371671027221,0.026784508055041,0.0268470166730721
aerobics_aerobics1,fooddrink_stirring1,0.0249500149295978,0.0271534701094394,0.0264461500482174
aerobics_aerobics1,games_playingbilliards1,0.0230624389292967,0.0219011252949826,0.0173280364334041
aerobics_aerobics1,games_videogames1,0.0226684712768176,0.0235685673028701,0.0220815730121482
aerobics_aerobics1,garden_gardening1,0.0235917762351049,0.0258143283020611,0.024107766168663
aerobics_aerobics1,garden_mowinglawn1,0.023409541635246,0.0191092148849856,0.0249431289756369
aerobics_aerobics1,garden_wateringplants1,0.0192016809869769,0.0254717117441833,0.024866366390069
aerobics_aerobics1,golf_golf1,0.0190774596865159,0.0181889065056064,0.0145991491439205
aerobics_aerobics1,groceries_groceryshopping1,0.0230983269761506,0.017083290766708,0.0257861121061992
aerobics_aerobics1,groomingoneself_applyingmakeup1,0.0241749908101477,0.0289132477271793,0.0238441205278391
aerobics_aerobics1,groomingoneself_brushhair1,0.0221341293184751,0.0265748422862027,0.0229767871842147
aerobics_aerobics1,groomingoneself_brushingteeth1,0.0228087404154832,0.0287578705951102,0.0239264526218077
aerobics_aerobics1,groomingoneself_shaving1,0.0238517624559717,0.0297267947508365,0.0241722800551592
aerobics_aerobics1,healthselfcare_bandaid1,0.0248242872037604,0.0283102970718827,0.0235274404554384
aerobics_aerobics1,healthselfcare_swallowpills1,0.0228951257957574,0.029869123615361,0.0247468533754597
aerobics_aerobics1,intclean_dustingtable1,0.0253335503681214,0.0260580433479191,0.0242990256787422
aerobics_aerobics1,intclean_moppingfloor1,0.023243020513954,0.0200540299624792,0.025778118274614
aerobics_aerobics1,intclean_vacuuming1,0.0237438628372092,0.0212806729996459,0.0253933614445294
aerobics_aerobics1,kitchenclean_washingdishes1,0.0265007835094834,0.0265961622851817,0.0256475949320145
aerobics_aerobics1,laundry_laundry1,0.0239364621173224,0.0240933904820474,0.0237352092364665
aerobics_aerobics1,pets_brushingcat1,0.0235707792315841,0.0264697692427272,0.0254234993257883
aerobics_aerobics1,pets_playingdog1,0.021724010544228,0.0216906351558583,0.0251918638461355
aerobics_aerobics1,pets_walkingdog1,0.0188966230449308,0.0168771899096065,0.023781889495913
aerobics_aerobics1,phone_calling1,0.0236785707524964,0.0231831448015308,0.0250857825777165
aerobics_aerobics1,racquetsports_playingtennis1,0.0204256709387865,0.0147827670984514,0.0145922279175782
aerobics_aerobics1,reading_reading1,0.0234803533749839,0.030526437899667,0.0243018944496622
aerobics_aerobics1,run_running1,0.0145234679454928,0.0123240672896258,0.00747537844657808
aerobics_aerobics1,sleeping_sleep1,0.0233998333062224,0.0332767847470876,0.0243225739586409
aerobics_aerobics1,soccer_playingsoccer1,0.0210635302757004,0.013272843729869,0.0157665565624983
aerobics_aerobics1,social_laughing1,0.0238579256949916,0.0308383398840457,0.0248461668721496
